,name,runs,balls_faced,fours,sixes,batted_out,date
504,Harpreet Brar,5,2,1,0,run out (Tilak Varma/†Ishan Kishan), April 22
505,Rohit Sharma (c),44,27,4,3,c & b Livingstone, April 22
506,Ishan Kishan †,1,4,0,0,c Short b Arshdeep Singh, April 22
507,Cameron Green,67,43,6,3,c Curran b Ellis, April 22
508,Suryakumar Yadav,57,26,7,3,c Taide b Arshdeep Singh, April 22
509,Tim David,25,13,0,2,not out, April 22
510,Tilak Varma,3,4,0,0,b Arshdeep Singh, April 22
511,Nehal Wadhera,0,1,0,0,b Arshdeep Singh, April 22
512,Jofra Archer,1,2,0,0,not out, April 22
513,Virat Kohli (c),0,1,0,0,lbw b Boult, April 23
514,Faf du Plessis,62,39,8,2,run out (Jaiswal), April 23
515,Shahbaz Ahmed,2,4,0,0,c Jaiswal b Boult, April 23
516,Glenn Maxwell,77,44,6,4,c Holder b Ashwin, April 23
517,Mahipal Lomror,8,6,1,0,c Padikkal b Chahal, April 23
518,Dinesh Karthik †,16,13,2,0,c Buttler b Sandeep Sharma, April 23
519,Suyash Prabhudessai,0,2,0,0,run out (Jaiswal/†Samson), April 23
520,Wanindu Hasaranga de Silva,6,7,0,0,run out (†Samson/Sandeep Sharma), April 23
521,David Willey,4,2,1,0,not out, April 23
522,Vijaykumar Vyshak,0,1,0,0,c Hetmyer b Sandeep Sharma, April 23
523,Mohammed Siraj,1,1,0,0,not out, April 23
524,Yashasvi Jaiswal,47,37,5,2,c Kohli b Patel, April 23
525,Jos Buttler,0,2,0,0,b Mohammed Siraj, April 23
526,Devdutt Padikkal,52,34,7,1,c Kohli b Willey, April 23
527,Sanju Samson (c)†,22,15,2,1,c Shahbaz Ahmed b Patel, April 23
528,Shimron Hetmyer,3,9,0,0,run out (Prabhudessai), April 23
529,Dhruv Jurel,34,16,2,2,not out, April 23
530,Ravichandran Ashwin,12,6,2,0,c Prabhudessai b Patel, April 23
531,Abdul Basith,1,1,0,0,not out, April 23
532,Ruturaj Gaikwad,35,20,2,3,b Suyash Sharma, April 23
533,Devon Conway,56,40,4,3,c Wiese b Varun, April 23
534,Ajinkya Rahane,71,29,6,5,not out, April 23
535,Shivam Dube,50,21,2,5,c Roy b Khejroliya, April 23
536,Ravindra Jadeja,18,8,0,2,c Singh b Khejroliya, April 23
537,MS Dhoni (c)†,2,3,0,0,not out, April 23
538,Narayan Jagadeesan †,1,3,0,0,c Jadeja b Deshpande, April 23
539,Sunil Narine,0,3,0,0,b Akash Singh, April 23
540,Venkatesh Iyer,20,20,2,1,lbw b Ali, April 23
541,Nitish Rana (c),27,20,4,1,c Gaikwad b Jadeja, April 23
542,Jason Roy,61,26,5,5,b Theekshana, April 23
543,Rinku Singh,53,33,3,4,not out, April 23
544,Andre Russell,9,6,0,1,c Dube b Pathirana, April 23
545,David Wiese,1,2,0,0,lbw b Deshpande, April 23
546,Umesh Yadav,4,4,0,0,c Conway b Theekshana, April 23
547,Varun Chakravarthy,0,3,0,0,not out, April 23
